Date,subjectivity,polarity,sentiment,djia_close1,djia_volume,qqq_close,axjo_close,clf_close,djia_close2
2008-11-04,subjective,negative,negative,down,up,down,up,down,down
2008-11-05,subjective,positive,negative,down,up,down,down,down,up
2008-11-06,subjective,positive,negative,up,down,up,down,up,down
2008-11-07,objective,positive,negative,down,down,down,up,up,down
2008-11-10,subjective,positive,negative,down,up,down,down,down,down
2008-11-11,subjective,negative,negative,down,up,down,down,down,up
2008-11-12,subjective,negative,negative,up,up,up,down,up,down
2008-11-13,subjective,positive,negative,down,down,down,up,down,down
2008-11-14,subjective,negative,negative,down,down,down,down,down,up
2008-11-17,subjective,positive,negative,up,up,down,down,down,down
2008-11-18,subjective,positive,negative,down,down,down,down,down,down
2008-11-19,subjective,positive,positive,down,up,down,down,down,up
2008-11-20,subjective,positive,negative,up,up,up,up,up,up
2008-11-21,subjective,positive,negative,up,down,up,up,up,up
2008-11-24,subjective,positive,negative,up,down,down,up,down,up
2008-11-25,subjective,positive,negative,up,down,up,down,up,down
2008-11-26,subjective,positive,negative,down,up,down,up,down,up
2008-12-01,objective,positive,negative,up,down,up,down,down,up
2008-12-02,subjective,positive,negative,up,down,up,up,down,down
2008-12-03,subjective,negative,negative,down,down,down,down,down,up
2008-12-04,objective,positive,negative,up,up,up,down,down,up
2008-12-05,subjective,negative,negative,up,up,up,up,up,down
2008-12-08,subjective,positive,negative,down,down,down,down,down,up
2008-12-09,subjective,negative,negative,up,down,down,up,up,down
2008-12-10,subjective,positive,negative,down,up,down,down,up,up
2008-12-11,subjective,positive,negative,up,down,up,down,down,down
2008-12-12,subjective,negative,negative,down,down,down,up,down,up
2008-12-15,subjective,negative,negative,up,up,up,down,down,down
2008-12-16,subjective,positive,negative,down,down,down,up,down,down
2008-12-17,subjective,positive,negative,down,up,down,up,down,down
2008-12-18,subjective,positive,negative,down,up,up,up,down,down
2008-12-19,subjective,positive,negative,down,down,down,down,up,down
2008-12-22,subjective,negative,negative,down,down,down,down,down,up
2008-12-23,subjective,negative,negative,up,down,down,up,up,up
2008-12-29,subjective,positive,negative,up,up,up,up,down,up
2008-12-30,subjective,negative,negative,up,up,up,up,up,down
2009-01-02,objective,positive,negative,down,up,down,down,up,up
2009-01-05,subjective,negative,negative,up,down,up,up,down,down
2009-01-06,subjective,positive,negative,down,up,down,up,down,down
2009-01-07,subjective,positive,negative,down,down,up,down,down,down
2009-01-08,subjective,negative,negative,down,down,down,up,down,down
2009-01-09,subjective,positive,negative,down,up,down,down,down,down
2009-01-12,subjective,positive,negative,down,up,up,down,up,down
2009-01-13,subjective,positive,negative,down,up,down,up,down,up
2009-01-14,subjective,negative,negative,up,up,up,down,down,up
2009-01-15,subjective,positive,negative,up,up,up,up,up,down
2009-01-16,subjective,negative,negative,down,down,down,down,up,up
2009-01-20,subjective,positive,negative,up,down,up,down,up,down
2009-01-21,subjective,negative,negative,down,up,down,up,up,down
2009-01-22,subjective,negative,negative,down,down,up,down,up,up
2009-01-23,subjective,positive,negative,up,down,up,up,down,up
2009-01-27,subjective,positive,negative,up,up,up,up,up,down
2009-01-28,subjective,positive,negative,down,down,down,up,down,down
2009-01-29,subjective,positive,negative,down,up,down,up,up,down
2009-01-30,subjective,negative,negative,down,down,up,down,down,up
2009-02-02,subjective,negative,negative,up,up,up,up,up,down
2009-02-03,objective,negative,negative,down,up,up,down,down,up
2009-02-04,subjective,negative,negative,up,up,up,down,up,up
2009-02-05,subjective,positive,negative,up,up,up,up,down,down
2009-02-06,subjective,negative,negative,down,down,up,up,down,down
2009-02-09,subjective,negative,negative,down,up,down,down,down,up
2009-02-10,objective,positive,negative,up,down,down,down,down,down
2009-02-11,subjective,negative,negative,down,up,up,up,down,down
2009-02-12,subjective,negative,negative,down,down,down,up,up,down
2009-02-13,subjective,positive,negative,down,up,down,down,down,up
2009-02-17,subjective,negative,negative,up,down,up,down,down,down
2009-02-18,subjective,negative,negative,down,up,down,up,up,down
2009-02-19,subjective,negative,negative,down,up,up,down,down,down
2009-02-20,subjective,negative,negative,down,down,down,down,down,up
2009-02-23,subjective,negative,negative,up,up,up,down,up,down
2009-02-24,subjective,positive,negative,down,down,down,down,up,down
2009-02-25,subjective,negative,negative,down,down,down,up,up,down
2009-02-26,subjective,positive,negative,down,up,down,down,down,down
2009-02-27,subjective,positive,negative,down,down,down,down,down,down
2009-03-02,subjective,negative,negative,down,down,down,down,up,up
2009-03-03,subjective,negative,negative,up,up,up,down,up,down
2009-03-04,subjective,positive,negative,down,up,down,up,down,up
2009-03-05,subjective,negative,negative,up,down,down,down,up,down
2009-03-06,subjective,negative,negative,down,down,down,up,up,up
2009-03-09,subjective,positive,negative,up,up,up,up,down,up
2009-03-10,subjective,negative,negative,up,down,up,up,down,up
2009-03-11,subjective,positive,negative,up,down,up,down,up,up
2009-03-12,subjective,negative,negative,up,down,up,up,down,down
2009-03-13,subjective,negative,negative,down,up,down,up,up,up
2009-03-16,subjective,positive,negative,up,down,up,up,up,up
2009-03-17,subjective,negative,negative,up,up,up,down,down,down
2009-03-18,subjective,negative,negative,down,down,down,up,up,down
2009-03-19,subjective,positive,negative,down,up,down,down,down,up
2009-03-20,subjective,negative,negative,up,down,up,up,up,down
2009-03-23,subjective,positive,negative,down,down,down,up,up,up
2009-03-24,subjective,negative,negative,up,up,up,up,down,up
2009-03-25,subjective,negative,negative,up,down,up,up,up,down
2009-03-26,subjective,positive,negative,down,down,down,up,down,down
2009-03-27,subjective,negative,negative,down,up,down,down,down,up
2009-03-30,subjective,negative,negative,up,up,up,down,up,up
2009-03-31,subjective,negative,negative,up,down,up,down,down,up
2009-04-01,subjective,negative,negative,up,up,up,up,up,up
2009-04-02,subjective,positive,negative,up,down,up,up,down,down
2009-04-03,subjective,negative,negative,down,down,down,up,down,down
2009-04-06,subjective,negative,negative,down,up,down,down,down,up
2009-04-07,subjective,negative,negative,up,down,up,down,up,up
2009-04-08,subjective,positive,negative,up,up,up,up,up,down
2009-04-09,subjective,negative,negative,down,up,down,up,down,up
2009-04-14,subjective,positive,negative,up,down,down,down,down,up
2009-04-15,subjective,positive,negative,up,down,up,up,up,up
2009-04-16,subjective,positive,negative,up,up,up,up,up,down
2009-04-17,subjective,negative,negative,down,down,down,down,down,up
2009-04-20,subjective,negative,negative,up,down,up,down,up,down
2009-04-21,subjective,positive,negative,down,down,up,down,up,up
2009-04-22,subjective,positive,negative,up,down,up,up,up,up
2009-04-23,subjective,positive,negative,up,up,up,down,up,down
2009-04-24,subjective,positive,negative,down,down,up,up,down,down
2009-04-27,subjective,positive,negative,down,down,down,down,down,up
2009-04-28,subjective,positive,negative,up,up,up,down,up,down
2009-04-29,subjective,positive,negative,down,up,up,up,up,up
2009-04-30,subjective,negative,negative,up,down,up,down,up,up
2009-05-01,subjective,positive,negative,up,up,up,up,up,down
2009-05-04,subjective,positive,negative,down,down,down,up,down,up
2009-05-05,subjective,positive,negative,up,up,up,down,up,down
2009-05-06,subjective,positive,negative,down,up,down,up,up,up
2009-05-07,subjective,positive,negative,up,down,up,up,up,down
2009-05-08,subjective,positive,negative,down,down,up,down,down,up
2009-05-11,subjective,negative,negative,up,up,down,down,up,down
2009-05-12,subjective,positive,negative,down,up,down,down,down,up
2009-05-13,subjective,positive,negative,up,down,up,down,up,down
2009-05-14,subjective,positive,negative,down,down,down,up,down,up
2009-05-15,subjective,positive,negative,up,down,up,down,up,down
2009-05-18,subjective,positive,negative,down,down,up,up,up,down
2009-05-19,subjective,positive,negative,down,up,down,up,up,down
2009-05-20,subjective,negative,negative,down,down,down,down,down,down
2009-05-21,subjective,positive,negative,down,down,down,down,up,up
2009-05-22,subjective,negative,negative,up,up,up,up,up,down
2009-05-26,subjective,positive,negative,down,down,down,up,up,up
2009-05-27,subjective,negative,negative,up,up,up,down,up,up
2009-05-28,subjective,negative,negative,up,up,up,up,up,up
2009-05-29,subjective,positive,negative,up,down,up,up,up,up
2009-06-01,subjective,positive,negative,up,down,up,up,down,down
2009-06-02,subjective,negative,negative,down,down,down,up,down,up
2009-06-03,subjective,positive,negative,up,down,up,down,up,up
2009-06-04,subjective,positive,negative,up,up,up,up,down,down
2009-06-05,subjective,positive,positive,down,down,up,down,up,down
2009-06-09,subjective,negative,negative,down,up,down,up,up,up
2009-06-10,subjective,negative,negative,up,up,up,up,up,up
2009-06-11,subjective,positive,negative,up,down,down,up,down,down
2009-06-12,subjective,positive,negative,down,up,down,down,down,down
2009-06-15,subjective,negative,negative,down,up,down,down,down,down
2009-06-16,objective,negative,negative,down,down,up,down,up,up
2009-06-17,subjective,positive,negative,up,down,down,down,up,down
2009-06-18,subjective,positive,negative,down,up,up,up,down,down
2009-06-19,subjective,positive,negative,down,down,down,up,down,down
2009-06-22,subjective,positive,negative,down,down,down,down,up,down
2009-06-23,subjective,positive,negative,down,down,up,up,down,up
2009-06-24,subjective,positive,negative,up,up,up,up,up,down
2009-06-25,subjective,positive,negative,down,up,up,up,down,up
2009-06-26,subjective,positive,negative,up,down,up,down,up,down
2009-06-29,subjective,negative,negative,down,up,down,up,down,up
2009-06-30,subjective,positive,negative,up,down,up,down,down,down
2009-07-01,subjective,negative,negative,down,down,down,up,down,up
2009-07-02,subjective,negative,negative,up,up,down,down,down,down
2009-07-06,subjective,negative,negative,down,up,down,down,down,up
2009-07-07,subjective,negative,negative,up,up,up,up,down,up
2009-07-08,subjective,negative,negative,up,down,up,down,up,down
2009-07-09,subjective,negative,negative,down,down,up,up,down,up
2009-07-10,subjective,negative,negative,up,up,up,down,down,up
2009-07-13,subjective,positive,negative,up,down,up,up,down,up
2009-07-14,subjective,negative,negative,up,up,up,up,up,up
2009-07-15,subjective,positive,negative,up,down,up,up,up,up
2009-07-16,subjective,negative,negative,up,up,up,up,up,up
2009-07-17,subjective,positive,negative,up,down,up,up,up,up
2009-07-20,subjective,negative,negative,up,up,up,up,up,down
2009-07-21,subjective,positive,negative,down,down,up,up,up,up
2009-07-22,subjective,positive,negative,up,up,up,down,up,up
2009-07-23,subjective,negative,negative,up,down,down,up,up,up
2009-07-24,subjective,negative,negative,up,down,up,up,up,down
2009-07-27,subjective,positive,negative,down,up,down,up,down,down
2009-07-28,subjective,positive,negative,down,down,up,down,down,up
2009-07-29,subjective,negative,negative,up,up,up,up,up,up
2009-07-30,subjective,positive,negative,up,up,down,up,up,up
2009-07-31,subjective,negative,negative,up,down,up,up,up,up
2009-08-03,subjective,positive,negative,up,down,up,up,down,down
2009-08-04,subjective,negative,negative,down,up,down,down,up,down
2009-08-05,subjective,negative,negative,down,up,down,up,down,up
2009-08-06,subjective,positive,negative,up,down,up,down,down,down
2009-08-07,subjective,negative,negative,down,down,down,up,down,down
2009-08-10,subjective,negative,negative,down,up,down,up,down,up
2009-08-11,subjective,negative,negative,up,up,up,up,up,up
2009-08-12,subjective,positive,negative,up,down,up,up,up,down
2009-08-13,subjective,negative,negative,down,up,down,up,down,down
2009-08-14,subjective,positive,negative,down,up,down,down,down,up
2009-08-17,subjective,positive,negative,up,down,up,down,up,up
2009-08-18,subjective,negative,negative,up,up,up,down,up,up
2009-08-19,subjective,positive,negative,up,down,up,up,up,up
2009-08-20,subjective,positive,negative,up,up,up,down,up,up
2009-08-21,subjective,positive,negative,up,down,down,up,up,up
2009-08-24,subjective,positive,negative,up,down,up,down,down,up
2009-08-25,subjective,positive,negative,up,down,down,up,down,up
2009-08-26,subjective,negative,negative,up,up,up,down,up,down
2009-08-27,subjective,negative,negative,down,up,up,up,up,down
2009-08-28,subjective,negative,negative,down,down,down,down,down,down
2009-08-31,subjective,positive,negative,down,up,down,up,down,down
2009-09-01,subjective,negative,negative,down,down,down,down,up,up
2009-09-02,subjective,positive,negative,up,down,up,down,down,up
2009-09-03,subjective,positive,negative,up,down,up,up,up,up
2009-09-04,subjective,positive,negative,up,up,up,up,up,up
2009-09-08,subjective,positive,negative,up,down,up,down,up,up
2009-09-09,subjective,negative,negative,up,up,up,up,up,down
2009-09-10,subjective,positive,negative,down,down,up,up,down,up
2009-09-11,subjective,positive,negative,up,down,up,down,down,up
2009-09-14,subjective,positive,negative,up,up,up,up,up,up
2009-09-15,subjective,positive,positive,up,up,up,up,up,down
2009-09-16,subjective,positive,negative,down,down,down,up,down,up
2009-09-17,subjective,positive,negative,up,up,up,down,down,down
2009-09-18,subjective,negative,negative,down,down,up,down,down,up
2009-09-21,subjective,positive,negative,up,up,up,down,up,down
2009-09-22,subjective,positive,negative,down,up,down,up,down,down
2009-09-23,subjective,positive,negative,down,down,down,down,down,down
2009-09-24,subjective,positive,negative,down,down,down,up,up,up
2009-09-25,subjective,positive,negative,up,down,up,down,up,down
2009-09-28,subjective,positive,negative,down,down,down,up,down,down
2009-09-29,subjective,positive,negative,down,up,up,down,up,down
2009-09-30,subjective,positive,negative,down,down,down,down,up,down
2009-10-01,subjective,positive,negative,down,down,down,down,down,up
2009-10-02,subjective,positive,negative,up,down,up,down,up,up
2009-10-05,subjective,positive,negative,up,up,up,up,up,down
2009-10-06,subjective,positive,negative,down,down,up,up,down,up
2009-10-07,subjective,negative,negative,up,up,up,up,up,up
2009-10-08,subjective,positive,negative,up,down,up,down,up,up
2009-10-09,subjective,positive,negative,up,down,up,down,up,down
2009-10-12,subjective,positive,negative,down,up,up,up,up,up
2009-10-13,subjective,negative,negative,up,up,up,up,up,up
2009-10-14,subjective,positive,negative,up,down,down,up,up,down
2009-10-15,subjective,positive,negative,down,up,down,down,up,up
2009-10-16,subjective,positive,negative,up,down,up,down,up,down
2009-10-19,subjective,negative,negative,down,up,up,up,down,down
2009-10-20,subjective,positive,positive,down,up,down,down,up,up
2009-10-21,subjective,positive,negative,up,down,up,down,down,down
2009-10-22,subjective,positive,negative,down,up,down,up,down,down
2009-10-23,subjective,positive,negative,down,down,down,down,down,up
2009-10-26,subjective,positive,negative,up,down,down,down,up,down
2009-10-27,subjective,negative,negative,down,up,down,down,down,up
2009-10-28,subjective,positive,negative,up,down,up,down,up,down
2009-10-29,subjective,positive,negative,down,up,down,up,down,up
2009-10-30,subjective,positive,negative,up,down,up,down,up,down
2009-11-02,subjective,negative,negative,down,down,up,down,up,up
2009-11-03,subjective,negative,negative,up,down,up,up,up,up
2009-11-04,subjective,negative,negative,up,down,up,down,down,up
2009-11-05,subjective,negative,negative,up,down,up,up,down,up
2009-11-06,subjective,positive,negative,up,up,up,up,up,up
2009-11-09,subjective,positive,negative,up,down,up,up,down,up
2009-11-10,objective,positive,negative,up,down,up,up,up,down
2009-11-11,subjective,positive,negative,down,up,down,down,down,up
2009-11-12,subjective,positive,negative,up,down,up,down,down,up
2009-11-13,subjective,positive,negative,up,up,up,up,up,up
2009-11-16,subjective,positive,negative,up,down,up,down,up,down
2009-11-17,subjective,positive,negative,down,up,down,up,up,down
2009-11-18,subjective,negative,negative,down,up,down,up,down,down
2009-11-19,subjective,negative,negative,down,up,down,down,down,up
2009-11-20,subjective,positive,negative,up,down,up,up,up,down
2009-11-23,subjective,negative,negative,down,down,down,down,down,up
2009-11-24,subjective,negative,negative,up,down,up,up,up,down
2009-11-25,objective,positive,negative,down,up,down,down,down,up
2009-11-30,subjective,positive,negative,up,down,up,up,up,down
2009-12-01,subjective,negative,negative,down,down,up,up,down,down
2009-12-02,subjective,negative,negative,down,up,down,up,down,up
2009-12-03,subjective,negative,negative,up,up,up,down,down,up
2009-12-04,subjective,negative,negative,up,down,down,down,down,down
2009-12-07,subjective,positive,negative,down,up,down,down,down,up
2009-12-08,subjective,positive,negative,up,down,up,down,down,up
2009-12-09,subjective,positive,negative,up,up,up,down,down,up
2009-12-10,subjective,positive,negative,up,down,down,up,down,up
2009-12-11,subjective,positive,negative,up,down,up,up,down,down
2009-12-14,subjective,positive,negative,down,up,down,up,up,down
2009-12-15,subjective,negative,negative,down,up,up,down,up,down
2009-12-16,subjective,negative,negative,down,down,down,up,down,up
2009-12-17,subjective,negative,negative,up,up,up,down,up,up
2009-12-18,subjective,negative,negative,up,down,up,down,down,up
2009-12-21,subjective,positive,negative,up,down,up,up,up,up
2009-12-22,subjective,positive,negative,up,down,up,up,up,up
2009-12-23,subjective,positive,negative,up,down,up,up,up,up
2009-12-29,subjective,negative,negative,up,up,up,down,up,down
2009-12-30,subjective,positive,negative,down,up,down,up,up,up
2009-12-31,subjective,positive,negative,up,up,up,up,up,down
2010-01-04,subjective,positive,negative,down,up,up,up,up,up
2010-01-05,subjective,positive,negative,up,down,down,down,up,up
2010-01-06,subjective,positive,negative,up,up,up,down,down,up
2010-01-07,subjective,positive,negative,up,down,up,up,up,up
2010-01-08,subjective,negative,negative,up,up,down,up,down,down
2010-01-11,subjective,negative,negative,down,up,down,down,down,up
2010-01-12,subjective,positive,negative,up,down,up,down,down,up
2010-01-13,subjective,positive,negative,up,down,up,up,down,down
2010-01-14,subjective,positive,negative,down,up,down,up,down,up
2010-01-15,subjective,positive,negative,up,down,up,down,up,down
2010-01-19,subjective,negative,negative,down,up,down,up,down,down
2010-01-20,subjective,positive,negative,down,up,down,down,down,down
2010-01-21,subjective,positive,negative,down,up,down,down,down,up
2010-01-22,subjective,positive,negative,up,down,up,down,up,up
2010-01-25,subjective,negative,negative,up,up,up,down,down,down
2010-01-27,subjective,positive,negative,down,down,down,up,down,down
2010-01-28,subjective,positive,negative,down,up,down,down,down,up
2010-01-29,subjective,positive,negative,up,down,up,down,up,up
2010-02-01,subjective,positive,negative,up,up,up,up,up,down
2010-02-02,subjective,positive,negative,down,down,up,up,down,down
2010-02-03,subjective,negative,negative,down,up,down,down,down,up
2010-02-04,subjective,positive,negative,up,up,up,down,down,down
2010-02-05,subjective,positive,negative,down,down,down,up,up,up
2010-02-08,subjective,positive,negative,up,up,up,down,up,down
2010-02-09,subjective,negative,negative,down,down,down,up,up,up
2010-02-10,objective,negative,negative,up,up,up,up,up,down
2010-02-11,subjective,negative,negative,down,up,up,up,down,up
2010-02-12,subjective,positive,negative,up,down,up,up,up,up
2010-02-16,subjective,negative,negative,up,down,up,up,up,up
2010-02-17,subjective,positive,negative,up,down,up,down,up,up
2010-02-18,subjective,positive,negative,up,up,down,down,up,down
2010-02-19,subjective,positive,negative,down,down,down,up,up,down
2010-02-22,subjective,positive,negative,down,up,down,up,down,up
2010-02-23,subjective,negative,negative,up,down,up,down,up,down
2010-02-24,subjective,positive,negative,down,up,down,down,down,up
2010-02-25,subjective,negative,negative,up,up,up,up,up,up
2010-02-26,subjective,positive,negative,up,down,up,up,down,up
2010-03-01,subjective,negative,negative,up,up,up,up,up,down
2010-03-02,subjective,negative,negative,down,down,up,up,up,up
2010-03-03,subjective,positive,negative,up,down,up,up,down,up
2010-03-04,subjective,negative,negative,up,up,up,up,up,down
2010-03-05,subjective,positive,negative,down,down,up,up,up,up
2010-03-08,subjective,positive,negative,up,up,up,up,down,up
2010-03-09,subjective,positive,negative,up,down,up,down,up,up
2010-03-10,subjective,positive,negative,up,down,up,down,up,up
2010-03-11,subjective,positive,negative,up,up,up,up,down,up
2010-03-12,subjective,positive,negative,up,down,down,down,down,up
2010-03-15,subjective,positive,negative,up,up,up,up,up,up
2010-03-16,subjective,negative,negative,up,down,up,up,up,up
2010-03-17,subjective,positive,negative,up,down,up,up,down,down
2010-03-18,subjective,positive,negative,down,up,down,up,down,up
2010-03-19,subjective,negative,negative,up,down,up,down,up,up
2010-03-22,subjective,positive,negative,up,up,up,up,up,down
2010-03-23,subjective,positive,negative,down,up,down,up,down,up
2010-03-24,subjective,positive,negative,up,up,down,down,down,up
2010-03-25,subjective,positive,negative,up,down,up,up,down,up
2010-03-26,subjective,positive,negative,up,down,up,up,up,up
2010-03-29,subjective,positive,negative,up,up,up,up,up,down
2010-03-30,subjective,positive,negative,down,up,down,down,up,up
2010-03-31,subjective,negative,negative,up,down,up,up,up,up
2010-04-01,subjective,positive,negative,up,up,up,up,up,down
2010-04-06,subjective,negative,negative,down,up,down,up,down,up
2010-04-07,subjective,negative,negative,up,down,up,down,down,up
2010-04-08,subjective,positive,negative,up,down,up,up,down,up
2010-04-09,subjective,positive,negative,up,up,up,up,down,up
2010-04-12,subjective,positive,negative,up,up,up,down,down,up
2010-04-13,subjective,positive,negative,up,up,up,up,up,up
2010-04-14,subjective,negative,negative,up,down,up,up,down,down
2010-04-15,subjective,positive,negative,down,up,down,down,down,up
2010-04-16,subjective,positive,negative,up,down,down,down,down,up
2010-04-19,subjective,negative,negative,up,down,up,up,up,up
2010-04-20,subjective,negative,negative,up,up,up,up,up,up
2010-04-21,subjective,positive,negative,up,up,up,down,up,up
2010-04-22,subjective,positive,negative,up,down,up,down,up,down
2010-04-23,subjective,positive,negative,down,up,down,down,down,up
2010-04-27,subjective,negative,negative,up,down,up,down,up,up
2010-04-28,subjective,negative,negative,up,down,up,down,up,down
2010-04-29,subjective,negative,negative,down,up,down,up,up,up
2010-04-30,subjective,positive,negative,up,down,up,down,up,down
2010-05-03,subjective,positive,negative,down,up,down,down,down,down
2010-05-04,subjective,positive,negative,down,down,down,down,down,down
2010-05-05,subjective,negative,negative,down,up,down,down,down,down
2010-05-06,subjective,positive,negative,down,down,down,down,down,up
2010-05-07,subjective,positive,negative,up,down,up,up,up,down
2010-05-10,subjective,positive,negative,down,down,down,down,down,up
2010-05-11,subjective,negative,negative,up,down,up,up,down,down
2010-05-12,subjective,negative,negative,down,up,down,up,down,down
2010-05-13,subjective,positive,negative,down,up,down,down,down,up
2010-05-14,subjective,negative,negative,up,down,up,down,down,down
2010-05-17,subjective,positive,negative,down,up,down,up,down,down
2010-05-18,subjective,positive,negative,down,up,down,down,up,down
2010-05-19,subjective,negative,negative,down,up,down,down,down,up
2010-05-20,subjective,positive,negative,up,up,up,down,up,down
2010-05-21,subjective,positive,negative,down,down,down,up,up,down
2010-05-24,subjective,negative,negative,down,up,up,down,down,down
2010-05-25,subjective,positive,negative,down,down,down,up,up,up
2010-05-26,subjective,positive,negative,up,down,up,up,up,down
2010-05-27,subjective,positive,negative,down,down,down,up,down,down
2010-05-28,subjective,positive,negative,down,down,down,down,down,up
2010-06-01,subjective,positive,negative,up,down,up,down,up,up
2010-06-02,subjective,positive,negative,up,down,up,up,up,down
2010-06-03,subjective,positive,negative,down,up,down,down,down,down
2010-06-04,subjective,positive,negative,down,down,down,down,down,up
2010-06-07,subjective,negative,negative,up,up,down,up,up,down
2010-06-08,subjective,negative,negative,down,down,down,up,up,up
2010-06-09,subjective,positive,negative,up,down,up,up,up,up
2010-06-10,subjective,negative,negative,up,down,up,up,down,up
2010-06-11,subjective,positive,negative,up,up,up,down,up,up
2010-06-15,subjective,negative,negative,up,down,up,up,down,up
2010-06-17,subjective,positive,negative,up,up,down,up,up,down
2010-06-18,subjective,negative,negative,down,down,down,up,up,down
2010-06-21,subjective,negative,negative,down,up,down,down,down,up
2010-06-22,subjective,positive,negative,up,up,down,down,down,down
2010-06-23,subjective,positive,negative,down,up,down,down,up,down
2010-06-24,subjective,positive,negative,down,up,down,down,up,down
2010-06-25,subjective,positive,negative,down,down,down,down,down,down
2010-06-28,subjective,positive,negative,down,up,down,down,down,down
2010-06-29,subjective,negative,negative,down,down,down,down,down,down
2010-06-30,subjective,positive,negative,down,up,down,down,down,down
2010-07-01,subjective,positive,negative,down,down,down,up,down,up
2010-07-02,subjective,positive,negative,up,up,up,up,down,up
2010-07-06,subjective,positive,negative,up,down,up,down,up,up
2010-07-07,subjective,positive,negative,up,down,up,up,up,up
2010-07-08,subjective,positive,negative,up,down,up,up,up,up
2010-07-09,subjective,negative,negative,up,down,up,up,down,up
2010-07-12,subjective,negative,negative,up,up,up,down,up,up
2010-07-13,subjective,positive,negative,up,up,up,up,down,down
2010-07-14,subjective,negative,negative,down,up,up,down,down,down
2010-07-15,subjective,positive,negative,down,up,down,down,down,up
2010-07-16,subjective,positive,negative,up,down,up,down,up,up
2010-07-19,subjective,positive,negative,up,up,up,up,up,down
2010-07-20,subjective,positive,positive,down,up,down,up,down,up
2010-07-21,subjective,positive,negative,up,down,up,down,up,up
2010-07-22,subjective,positive,negative,up,down,up,up,down,up
2010-07-23,subjective,positive,negative,up,down,up,up,up,up
2010-07-26,subjective,positive,negative,up,up,down,up,down,down
